"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503)","7/14",9.88935638050295e-11,6.01272867934579e-09,0,0,85.5194805194805,1970.11030212096,"HLA-DMA;HLA-DMB;HLA-DRA;HLA-DOA;HLA-DQA1;HLA-DRB1;HLA-DPA1"
"Positive Regulation Of Phagocytosis (GO:0050766)","11/60",1.10309327840054e-10,6.46525276644985e-09,0,0,19.4950103389373,446.976384579366,"FCER1G;PTPRC;CLEC7A;SLC11A1;SIRPA;TREM2;CYBA;NCKAP1L;DOCK2;FCGR2B;C2"
"Neutrophil Migration (GO:1990266)","12/77",1.13425487130699e-10,6.46525276644985e-09,0,0,16.0901293396869,368.46195054266,"CCL13;CXCL9;FCER1G;CCL8;SYK;CCL3L1;CCL7;ITGB2;PECAM1;CCL3;NCKAP1L;TREM1"
"Regulation Of Interleukin-2 Production (GO:0032663)","10/47",1.65929721362066e-10,9.17138823528512e-09,0,0,23.3819345661451,526.548464953668,"CD86;PRNP;CD4;PTPRC;CLEC7A;LAPTM5;TNFAIP3;VSIG4;LILRB4;HAVCR2"
"Negative Regulation Of T Cell Activation (GO:0050868)","10/49",2.57916518620538e-10,1.38364626459959e-08,0,0,22.1806117858749,489.712089973332,"CD86;LAPTM5;NCKAP1L;VSIG4;PDCD1LG2;LILRB2;FCGR2B;LILRB4;HLA-DRB1;HAVCR2"
"Positive Regulation Of Chemokine Production (GO:0032722)","10/53",5.87043793326176e-10,3.05933679721984e-08,0,0,20.1132190942472,427.525010072687,"CSF1R;CD74;CD84;SYK;CLEC7A;HMOX1;LGALS9;LCP1;TLR4;AIF1"
"Neutrophil Chemotaxis (GO:0030593)","11/70",6.27433320932125e-10,3.17899549272277e-08,0,0,16.1825580527141,342.898432021185,"CCL13;CXCL9;FCER1G;CCL8;SYK;CCL3L1;CCL7;ITGB2;CCL3;NCKAP1L;TREM1"
"Peptide Antigen Assembly With MHC Protein Complex (GO:0002501)","7/18",8.80564670382555e-10,4.34094583453454e-08,0,0,54.4104683195592,1134.48317049284,"HLA-DMA;HLA-DMB;HLA-DRA;HLA-DOA;HLA-DQA1;HLA-DRB1;HLA-DPA1"
"Negative Regulation Of Type II Interferon Production (GO:0032689)","8/28",9.04775599267906e-10,4.34292287648595e-08,0,0,34.3339130434783,714.946544310482,"PRNP;LAPTM5;LGALS9;PDCD1LG2;LILRB4;TLR4;HLA-DRB1;HAVCR2"
"Granulocyte Chemotaxis (GO:0071621)","11/73",1.00000922686412e-09,4.67696623025682e-08,0,0,15.3971863009805,319.079842789119,"CCL13;CXCL9;FCER1G;CCL8;SYK;CCL3L1;CCL7;ITGB2;CCL3;NCKAP1L;TREM1"
"Regulation Of Chemokine Production (GO:0032642)","9/41",1.03451765682961e-09,4.71740051514301e-08,0,0,24.2317139737991,501.337940218901,"CSF1R;CD74;HMOX1;TREM2;LGALS9;LCP1;AIF1;LILRB4;TLR4"
"Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381)","7/19",1.38016262583822e-09,6.14004055982661e-08,0,0,49.8737373737374,1017.4773330132,"HLA-DMA;HLA-DMB;HLA-DRA;HLA-DOA;HLA-DQA1;HLA-DRB1;HLA-DPA1"
"Regulation Of Cytokine Production (GO:0001817)","15/167",1.54298555527909e-09,6.70096584006919e-08,0,0,8.67801510502714,176.072992086436,"LYN;SRGN;PTGER4;SLC11A1;NFAM1;TREM2;PLD3;FGR;PTPRC;ALOX5;SIRPA;IRF8;LGALS9;FCGR2B;HLA-DRB1"
"Regulation Of T Cell Proliferation (GO:0042129)","11/77",1.80088497841676e-09,7.63910279216784e-08,0,0,14.4610866372981,291.173800676804,"CD86;HLA-DMB;PTPRC;CD209;NCKAP1L;VSIG4;PDCD1LG2;LILRB2;LILRB4;HLA-DRB1;HLA-DPA1"
"Cytokine-Mediated Signaling Pathway (GO:0019221)","18/257",1.96910293555601e-09,8.0472261450361e-08,0,0,6.68341574743248,133.973665247091,"LYN;CCR1;CCL13;CSF1R;CXCL9;SPI1;FCER1G;SYK;CCL3L1;OSM;LILRB2;LILRB4;CSF2RA;CD4;CCL8;CCL7;CCL3;PTPN6"
"Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039)","9/44",2.02945396201568e-09,8.0472261450361e-08,0,0,22.151341235184,443.370149765909,"HLA-DMA;HLA-DMB;ITGB2;SIRPA;HLA-DRA;HLA-DOA;HLA-DQA1;HLA-DRB1;HLA-DPA1"
"Regulation Of B Cell Proliferation (GO:0030888)","9/44",2.02945396201568e-09,8.0472261450361e-08,0,0,22.151341235184,443.370149765909,"LYN;CD74;PTPRC;TYROBP;GPR183;NCKAP1L;MNDA;FCGR2B;TNFSF13B"
"Negative Regulation Of B Cell Activation (GO:0050869)","7/20",2.10190835109251e-09,8.15719326041009e-08,0,0,46.034965034965,919.797943737437,"LYN;TYROBP;LAPTM5;TNFAIP3;MNDA;FCGR2B;SAMSN1"
"Receptor-Mediated Endocytosis (GO:0006898)","13/122",2.41213922091731e-09,9.16612903948578e-08,0,0,10.4174923547401,206.711715586373,"MSR1;ITGAM;FCER1G;SYK;ITGB2;ARRB2;LILRB4;CTSL;MRC1;STAB1;PPT1;GRB2;FCGR2B"
"Regulation Of Interleukin-10 Production (GO:0032653)","9/46",3.08935394982932e-09,1.13856281711864e-07,0,0,20.9518470435501,410.557808945355,"TYROBP;SYK;CLEC7A;LGALS9;PDCD1LG2;FCGR2B;LILRB4;TLR4;HLA-DRB1"
"Negative Regulation Of Interleukin-2 Production (GO:0032703)","7/21",3.12106035394364e-09,1.13856281711864e-07,0,0,42.7445887445887,837.156747341068,"PRNP;PTPRC;LAPTM5;TNFAIP3;VSIG4;LILRB4;HAVCR2"
"Cellular Response To Low-Density Lipoprotein Particle Stimulus (GO:0071404)","7/22",4.53138559874579e-09,1.60148524152476e-07,0,0,39.8929292929293,766.432454986478,"FCER1G;SYK;ITGB2;TREM2;LCP1;CD68;TLR4"
"Cellular Defense Response (GO:0006968)","9/48",4.60661455830925e-09,1.60148524152476e-07,0,0,19.875377897212,381.523234828583,"CXCL9;TYROBP;NCF1;NCF2;C5AR1;CLEC5A;LY96;MNDA;LILRB2"
"Regulation Of Interleukin-1 Beta Production (GO:0032651)","11/84",4.65343847592171e-09,1.60148524152476e-07,0,0,13.0697604248386,250.751972387389,"TYROBP;CLEC7A;CCL3;TNFAIP3;SIRPA;MNDA;LGALS9;LCP1;TLR4;LILRB4;NAIP"
"Positive Regulation Of T Cell Proliferation (GO:0042102)","10/65",4.7572893406606e-09,1.60690662173425e-07,0,0,15.7153110047847,301.16174219984,"CD86;HLA-DMB;PTPRC;SYK;CD209;NCKAP1L;PDCD1LG2;LILRB2;AIF1;HLA-DPA1"
"Positive Regulation Of Response To External Stimulus (GO:0032103)","14/155",5.10513127678762e-09,1.69304717252011e-07,0,0,8.69725177304965,166.056799180605,"PTGER4;GRN;LY86;OSM;LY96;CYBA;TREM2;AIF1;CCL3;ADAM8;LCP1;TLR4;NAIP;GPSM3"
"Negative Regulation Of Immune Response (GO:0050777)","10/66",5.54883035300471e-09,1.80733331497868e-07,0,0,15.4338972431078,293.393427350082,"FGR;LYN;SPI1;SYK;TNFAIP3;TREM2;FCGR2B;SAMSN1;HLA-DRB1;HAVCR2"
"Negative Regulation Of T Cell Proliferation (GO:0042130)","8/36",8.11516421108089e-09,2.59685254754589e-07,0,0,24.5142857142857,456.689655479644,"CD86;PRNP;LGALS9;VSIG4;LILRB2;PDCD1LG2;LILRB4;HLA-DRB1"
"Fc-gamma Receptor Signaling Pathway (GO:0038094)","7/24",9.01149965215932e-09,2.83396126992045e-07,0,0,35.1960784313725,651.999058495904,"LYN;FGR;FCGR3A;FCER1G;SYK;FCGR2B;VAV1"
"Myeloid Leukocyte Differentiation (GO:0002573)","10/71",1.15288913145449e-08,3.56418606063219e-07,0,0,14.165228645384,258.917852162805,"CSF1R;CD4;SPI1;TYROBP;GPR183;UCP2;SNX10;TREM2;LGALS9;HLA-DRB1"
"Negative Regulation Of Leukocyte Degranulation (GO:0043301)","5/8",1.24450468913258e-08,3.78329425496303e-07,0,0,141.337625178827,2572.6194160935,"CD84;SPI1;NCKAP1L;LGALS9;FCGR2B"
"Positive Regulation Of Intracellular Signal Transduction (GO:1902533)","24/525",1.95732002526529e-08,5.8527077476785e-07,0,0,4.31160109687168,76.5270586049324,"LYN;CD86;CD74;NCF1;ARRDC3;LAPTM5;OSM;TREM2;FGR;DOK2;CD4;PTPRC;CLEC7A;CCL3;HMOX1;HCLS1;ADAM8;PTPN6;LGALS9;PIK3AP1;HCST;TLR4;HLA-DRB1;TGM2"
"Positive Regulation Of Interleukin-6 Production (GO:0032755)","10/76",2.26265301434731e-08,6.65657919059596e-07,0,0,13.0887825624668,230.416796247578,"CD74;TYROBP;SYK;CLEC7A;CYBA;LGALS9;LCP1;LILRB2;TLR4;AIF1"
"Regulation Of MAPK Cascade (GO:0043408)","15/204",2.37346978231208e-08,6.87176013164641e-07,0,0,6.96597622606591,122.296962185379,"LYN;CD74;CSF1R;SYK;LAPTM5;OSM;SLA;LILRB4;DOK2;SPRED1;CD4;PTPRC;GRB2;PTPN6;HLA-DRB1"
"Regulation Of Immune Response (GO:0050776)","10/77",2.57348779175196e-08,7.33444020649309e-07,0,0,12.8927729772192,225.306605306446,"FGR;LYN;FCGR3A;SYK;HLA-DRA;TREM2;SAMHD1;FCGR1A;FCGR2B;HLA-DRB1"
"Cellular Response To Lipopolysaccharide (GO:0071222)","12/124",3.00477963654886e-08,8.43187393394634e-07,0,0,9.31573957016435,161.353048406855,"CD86;LYN;CXCL9;CCL3;SIRPA;LY96;TNFAIP3;CD14;PDCD1LG2;LILRB2;CD68;TLR4"
"Positive Regulation Of Endocytosis (GO:0045807)","10/79",3.3102661366295e-08,9.14837186850335e-07,0,0,12.5177981184846,215.602200526525,"FCER1G;CLEC7A;SLC11A1;PPT1;SIRPA;TREM2;CYBA;DOCK2;FCGR2B;B2M"
"Positive Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000379)","8/48",8.94898525182967e-08,2.43626105960258e-06,0,0,17.1495652173913,278.322705103796,"ITGAM;TYROBP;SYK;CLEC7A;ITGB2;CYBA;GRB2;TLR4"
"Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730)","10/90",1.17254676563968e-07,3.14518426548055e-06,0,0,10.7905701754386,172.205819693452,"CD74;PRNP;PTPRC;ITGB2;PECAM1;OSM;HCLS1;TREM2;PTPN6;SAMSN1"
"Negative Regulation Of Interleukin-6 Production (GO:0032715)","7/34",1.26574459927133e-07,3.29816878438701e-06,0,0,22.1492704826038,351.784350640451,"CD84;TNFAIP3;SIRPA;NCKAP1L;PTPN6;LILRB4;TLR4"
"Positive Regulation Of Neuron Death (GO:1901216)","7/34",1.26574459927133e-07,3.29816878438701e-06,0,0,22.1492704826038,351.784350640451,"C1QA;PRNP;GRN;ITGAM;TYROBP;ITGB2;CCL3"
"Cellular Response To Molecule Of Bacterial Origin (GO:0071219)","11/117",1.54061361462035e-07,3.95785807474298e-06,0,0,8.98578671764608,140.950285428645,"CD86;CXCL9;SIRPA;LY96;TNFAIP3;CD14;PDCD1LG2;LILRB2;CD68;FCGR2B;TLR4"
"Astrocyte Activation (GO:0048143)","5/12",1.69284915781719e-07,4.23759041336868e-06,0,0,60.5610055180871,944.247978963236,"C1QA;GRN;IFNGR1;C5AR1;TREM2"
"Fc Receptor Mediated Stimulatory Signaling Pathway (GO:0002431)","6/22",1.69596546149075e-07,4.23759041336868e-06,0,0,31.917025862069,497.58143748835,"LYN;FGR;FCER1G;SYK;FCGR2B;VAV1"
"Positive Regulation Of Hydrolase Activity (GO:0051345)","13/176",1.97647414931797e-07,4.87174168696754e-06,0,0,6.94715746421268,107.241749225053,"CCL13;CCL3L1;DOCK8;CTSS;DOCK10;CCL8;CCL7;RGS1;CTSL;PSAP;CCL3;CTSH;TGM2"
"Regulation Of Interleukin-4 Production (GO:0032673)","6/23",2.27179166486456e-07,5.5249973289506e-06,0,0,30.0380324543611,459.507608024994,"CD86;FCER1G;SYK;LGALS9;HLA-DRB1;HAVCR2"
"Positive Regulation Of Superoxide Anion Generation (GO:0032930)","5/13",2.72423018510087e-07,6.53815244424208e-06,0,0,52.9881974248927,800.964810812324,"ITGAM;TYROBP;SYK;CLEC7A;ITGB2"
"Chemokine-Mediated Signaling Pathway (GO:0070098)","8/57",3.57387849123488e-07,8.35737739488773e-06,0,0,13.993256433008,207.722114754703,"CCR1;LYN;CCL13;CXCL9;CCL8;CCL3L1;CCL7;CCL3"
"Positive Regulation Of Interleukin-1 Beta Production (GO:0032731)","8/57",3.57387849123488e-07,8.35737739488773e-06,0,0,13.993256433008,207.722114754703,"TYROBP;CLEC7A;CCL3;MNDA;LGALS9;LCP1;TLR4;NAIP"
"Regulation Of Mast Cell Degranulation (GO:0043304)","5/14",4.19664442813802e-07,9.56834929615468e-06,0,0,47.0982355746304,691.58156091334,"LYN;FGR;CD84;SYK;LGALS9"
"Regulation Of Superoxide Anion Generation (GO:0032928)","5/14",4.19664442813802e-07,9.56834929615468e-06,0,0,47.0982355746304,691.58156091334,"ITGAM;TYROBP;SYK;CLEC7A;ITGB2"
"Positive Regulation Of Immune Response (GO:0050778)","9/80",4.57769253287909e-07,1.02032534558274e-05,0,0,10.89974783197,159.102535598256,"CD74;ITGAM;HLA-DMB;PTPRC;ITGB2;HLA-DRA;LGALS9;FCGR2B;HLA-DRB1"
"Positive Regulation Of Inflammatory Response (GO:0050729)","10/104",4.62639423976861e-07,1.02032534558274e-05,0,0,9.17693169092945,133.857642698433,"VAMP8;PTGER4;GRN;CCL3;OSM;ADAM8;LCP1;TLR4;NAIP;GPSM3"
"Response To Lipopolysaccharide (GO:0032496)","12/159",4.66013472159038e-07,1.02032534558274e-05,0,0,7.08506411414123,103.293513134444,"CD86;CXCL9;SLC11A1;SIRPA;LY96;TNFAIP3;LGALS9;CD14;PDCD1LG2;LILRB2;CD68;TLR4"
"Cellular Response To Chemokine (GO:1990869)","8/59",4.6988667230784e-07,1.02032534558274e-05,0,0,13.443137254902,195.876918745331,"CCR1;CCL13;CXCL9;CCL8;CCL3L1;CCL7;DOCK8;CCL3"
"Cellular Response To Lipid (GO:0071396)","14/228",6.41710758948528e-07,1.37703579332013e-05,0,0,5.70911214953271,81.4069618543058,"LYN;CD86;CXCL9;SYK;LY96;TNFAIP3;TREM2;PDCD1LG2;LILRB2;SIRPA;CD14;LCP1;CD68;TLR4"
"Negative Regulation Of Multicellular Organismal Process (GO:0051241)","14/231",7.50734456303504e-07,1.5922554049972e-05,0,0,5.6293202764977,79.3858782821796,"PTGER4;SRGN;GRN;SPI1;IFNGR1;SLC11A1;ARRDC3;TREM2;SPRED1;ARHGDIB;ALDH1A1;SLAMF8;FCGR2B;TLR4"
"Negative Regulation Of Immune System Process (GO:0002683)","7/44",8.14854106440514e-07,1.70838378177873e-05,0,0,16.1547911547912,226.494319736553,"LYN;TNFAIP3;HMOX1;TREM2;LILRB2;FCGR2B;LILRB4"
"Positive Regulation Of Interleukin-1 Production (GO:0032732)","8/64",8.91156072562588e-07,1.84036316251761e-05,0,0,12.239751552795,170.508873157646,"TYROBP;CLEC7A;CCL3;MNDA;LGALS9;LCP1;TLR4;NAIP"
"Negative Regulation Of Inflammatory Response To Antigenic Stimulus (GO:0002862)","5/16",8.97984218552999e-07,1.84036316251761e-05,0,0,38.5310183378853,536.471735531615,"LYN;FGR;SYK;TREM2;HLA-DRB1"
"Positive Regulation Of Cell Migration (GO:0030335)","15/272",9.93838511722579e-07,2.01417938375776e-05,0,0,5.10504091710143,70.5602986424448,"CCR1;CSF1R;GRN;AIF1;FGR;PTPRC;CCL7;GLIPR2;CLEC7A;ITGAX;PECAM1;CCL3;CTSH;NCKAP1L;FERMT3"
"Vacuolar Acidification (GO:0007035)","6/29",1.00701548165288e-06,2.01845740498336e-05,0,0,22.1952773613193,306.483921812267,"GRN;SLC11A1;DMXL2;ATP6V1B2;PPT1;ATP6V1F"
"Regulation Of Cytokine Production Involved In Inflammatory Response (GO:1900015)","7/46",1.11537004047633e-06,2.21134234111828e-05,0,0,15.3247863247863,210.046491705181,"CLEC7A;ALOX5;SIRPA;TREM2;LILRB4;TLR4;PLD3"
"Regulation Of Inflammatory Response (GO:0050727)","14/240",1.18446748050243e-06,2.3230846069209e-05,0,0,5.40265486725664,73.7258021421829,"PTGER4;GRN;IL10RA;OSM;TNFAIP3;ALOX5;CCL3;SIRPA;SLC39A8;LCP1;PIK3AP1;TLR4;NAIP;GPSM3"
"Regulation Of Inflammatory Response To Antigenic Stimulus (GO:0002861)","5/17",1.25982899578731e-06,2.41887167191163e-05,0,0,35.3183118741059,479.782828390289,"LYN;FGR;SYK;TREM2;HLA-DRB1"
"Negative Regulation Of Leukocyte Activation (GO:0002695)","5/17",1.25982899578731e-06,2.41887167191163e-05,0,0,35.3183118741059,479.782828390289,"CD84;GRN;FCGR2B;LILRB4;HAVCR2"
"Negative Regulation Of Tumor Necrosis Factor Production (GO:0032720)","7/47",1.2973768598063e-06,2.45382065498962e-05,0,0,14.9409090909091,202.526504892581,"TNFAIP3;SIRPA;PTPN6;LGALS9;LILRB4;TLR4;HAVCR2"
"Synapse Pruning (GO:0098883)","4/8",1.31839048349223e-06,2.45382065498962e-05,0,0,84.4358974358974,1143.18596576069,"C1QB;ITGAM;TREM2;C1QC"
"Positive Regulation Of Monocyte Chemotactic Protein-1 Production (GO:0071639)","4/8",1.31839048349223e-06,2.45382065498962e-05,0,0,84.4358974358974,1143.18596576069,"CD84;SYK;CLEC7A;LGALS9"
"Leukocyte Cell-Cell Adhesion (GO:0007159)","6/31",1.53011135722213e-06,2.81911425815472e-05,0,0,20.4175862068966,273.394951172042,"SYK;CD209;ITGB2;PECAM1;OLR1;FERMT3"
